EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DECCostInBT_BA
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,169.7819438889414
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,542.0042752432099
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,515.1729967930876
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,284.3127090330089
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,9.276106624554064
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,197.64665671261724
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,625.3052495263424
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,590.5324527971583
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,328.75887310852175
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,14.441870301847562
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,201.05115188581865
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,608.9095631717073
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,583.6967092474641
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,319.46449322898263
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,18.401669802008662
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,197.74687867128756
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,573.4979355072267
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,536.5165368309213
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,293.8597528443262
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,16.108764675644103
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,316.64255300838806
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,778.8303546486346
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,922.309690201821
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,427.2401293913327
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,26.79356613379364
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,408.5116220571029
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,1234.3346875921004
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,1216.432302678263
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,651.7059001443986
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,21.52235085409147
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,185.76591307228983
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,422.09299407058927
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,461.9097318580978
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,217.76870887093492
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,13.612735914740119
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,193.48039013343254
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,488.1929719254076
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NR,461.9527783475259
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,250.45186426296883
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,14.47745626698746
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,198.41301448668713
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,513.1837811303373
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NR,482.9119168333578
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,SR,266.5326880752946
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NER,18.368091520298506
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,197.05616748745877
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,502.38071576917275
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,479.0816390926031
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,257.6556182938137
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,17.001082464295806
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,ER,307.1387476953573
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,WR,599.1816622546801
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NR,743.8466933201173
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,SR,325.37662278348876
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NER,35.2436398603582
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,ER,416.7547310113259
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,WR,802.0336394329446
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NR,958.3027341031508
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,SR,384.13642138924456
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NER,23.501104340175623
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,ER,146.39197738914012
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,WR,444.9463255456302
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NR,394.9954741982546
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,SR,231.01967123491997
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NER,8.45182180421759
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,ER,190.61886049022323
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,566.7440200052738
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,511.97563109192174
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,297.7911589179637
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,13.628105623028338
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,200.39665211383232
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,621.0091787810162
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,581.6550472499101
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,330.5196874592688
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,18.136355322978996
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,195.60506950135965
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,602.0898956489978
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,563.8451186472469
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,316.27948238385824
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,13.815732992899218
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,280.09530837547476
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,WR,671.0088592192313
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,710.4523871717129
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,365.26971150939397
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,28.165942777355
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,327.53778368049996
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,978.6989313053297
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,885.0491211710623
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,507.6529280586579
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,20.968633110329087
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,140.81036957748822
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,WR,473.35844067125123
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,402.75688726984606
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,243.09861351555983
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,12.83845032573046
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,159.4628478093328
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,WR,565.6063190119704
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,419.4599372007078
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,290.5020533141095
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,9.536041036994666
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,177.3725647347097
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,WR,619.7327105209444
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,437.0758132370846
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,330.77200921721015
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,10.820295144909156
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,167.74099256137285
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,595.0112827777174
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,440.2129901909981
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,321.43951782684917
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,9.723896664308528
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,212.52299238216244
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,WR,604.3785361622799
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NR,535.3547174604741
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,SR,317.92099411753895
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NER,23.72470475097385
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,ER,297.69612334126384
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,WR,983.4105515427536
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NR,813.9873142090966
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,SR,494.35459021723307
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NER,18.200141736986726
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,ER,133.6417440493307
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,WR,447.84397255994355
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NR,374.4216545728762
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,SR,228.07126322757708
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NER,7.498106679133014
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,ER,178.9756652916858
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,WR,571.8162024351689
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NR,463.86623260597764
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,SR,302.84050136868717
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NER,11.38795173912131
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,ER,196.5808492840052
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,WR,634.0403543449117
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NR,512.2200339096196
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,SR,341.77565925585816
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NER,14.952854748539062
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,193.76861533817674
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,619.787681460627
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,505.8163957557151
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,336.4992966510063
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,13.020889248109777
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,ER,263.46833285450884
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,WR,682.7650090399402
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NR,581.8666349991724
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,SR,403.64329506001104
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NER,27.1732211405601
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,ER,322.93897267163504
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,WR,1019.102368394098
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NR,837.6995921656559
