ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,EfficiencyLevelName,Year,SplitShare
FRIDGE,URBAN,Q1,INDIA,SR,AP,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,SR,AP,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,ER,BR,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,ER,BR,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,ER,JH,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,ER,JH,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NER,AS,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NER,AS,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,WR,CG,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,WR,CG,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,WR,GJ,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,WR,GJ,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,WR,MP,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,WR,MP,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,WR,GA,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,WR,GA,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,HR,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,HR,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,SR,KA,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,SR,KA,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,HP,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,HP,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,SR,KL,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,SR,KL,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,JK,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,JK,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,WR,MH,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,WR,MH,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,ER,OD,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,ER,OD,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,PB,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,PB,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,RJ,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,RJ,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,SR,TN,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,SR,TN,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,SR,TS,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,SR,TS,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,UP,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,UP,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,UK,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,UK,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,ER,WB,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,ER,WB,3STAR,2021,0.395
FRIDGE,URBAN,Q1,INDIA,NR,DL,3STAR,2021,0.395
FRIDGE,RURAL,Q1,INDIA,NR,DL,3STAR,2021,0.395
